13H:51M:51S : appuie sur touche mi Majeur
13H:51M:51S : appuie sur touche la Majeur
13H:51M:51S : appuie sur touche si Majeur
13H:51M:51S : appuie sur touche re mineur
13H:51M:51S : appuie sur touche re mineur
13H:51M:53S : appuie sur touche re Majeur
13H:51M:53S : appuie sur touche mi Majeur
13H:51M:53S : appuie sur touche fa Majeur
13H:51M:53S : appuie sur touche sol Majeur
13H:51M:53S : appuie sur touche sol Majeur
13H:51M:53S : appuie sur touche si Majeur
13H:51M:53S : appuie sur touche la Majeur
13H:51M:54S : appuie sur touche la Majeur
13H:51M:54S : appuie sur touche do mineur
13H:51M:54S : appuie sur touche si Majeur
13H:51M:54S : appuie sur touche do mineur
13H:51M:55S : appuie sur touche sol Majeur
13H:51M:55S : appuie sur touche la Majeur
13H:51M:55S : appuie sur touche do mineur
13H:51M:55S : appuie sur touche sol Majeur
13H:51M:55S : appuie sur touche la Majeur
13H:51M:55S : appuie sur touche si Majeur
13H:51M:56S : appuie sur touche fa Majeur
13H:51M:56S : appuie sur touche re Majeur
13H:51M:57S : appuie sur touche re Majeur
13H:51M:57S : appuie sur touche fa Majeur
13H:51M:57S : appuie sur touche re# Majeur
13H:51M:58S : appuie sur touche re# Majeur
13H:51M:58S : appuie sur touche re# Majeur
13H:51M:59S : appuie sur touche fa# Majeur
13H:51M:59S : appuie sur touche fa# Majeur
13H:51M:59S : appuie sur touche sol# Majeur
13H:52M:0S : appuie sur touche la# Majeur
13H:52M:1S : appuie sur touche do# mineur
13H:52M:2S : appuie sur touche do# mineur
13H:52M:2S : appuie sur touche re# mineur
13H:52M:3S : appuie sur touche re# mineur
13H:52M:3S : appuie sur touche re# mineur
13H:52M:4S : appuie sur touche fa# mineur
13H:52M:4S : appuie sur touche fa# mineur
13H:52M:5S : appuie sur touche sol# mineur
13H:52M:5S : appuie sur touche la# mineur
13H:52M:5S : appuie sur touche la# mineur
13H:52M:6S : appuie sur touche la# mineur
13H:52M:6S : appuie sur touche sol# mineur
13H:52M:6S : appuie sur touche fa# mineur
13H:52M:6S : appuie sur touche la mineur
13H:52M:8S : appuie sur touche sol mineur
13H:52M:9S : appuie sur touche sol mineur
13H:52M:9S : appuie sur touche sol mineur
13H:52M:9S : appuie sur touche sol mineur
13H:52M:9S : appuie sur touche sol mineur
13H:52M:10S : L'utilisateur affiche le nom des notes
13H:52M:10S : L'utilisateur affiche le nom des notes
13H:52M:10S : L'utilisateur affiche le nom des notes
13H:52M:10S : L'utilisateur affiche le nom des notes
13H:52M:10S : L'utilisateur affiche le nom des notes
13H:52M:10S : L'utilisateur affiche le nom des notes
13H:52M:10S : L'utilisateur affiche le nom des notes
13H:52M:10S : L'utilisateur affiche le nom des notes
13H:52M:10S : L'utilisateur affiche le nom des notes
13H:52M:10S : L'utilisateur affiche le nom des notes
13H:52M:10S : L'utilisateur affiche le nom des notes
13H:52M:10S : L'utilisateur affiche le nom des notes
13H:52M:10S : L'utilisateur affiche le nom des notes
13H:52M:10S : L'utilisateur affiche le nom des notes
13H:52M:10S : L'utilisateur affiche le nom des notes
13H:52M:10S : L'utilisateur affiche le nom des notes
13H:52M:10S : L'utilisateur affiche le nom des notes
13H:52M:10S : L'utilisateur affiche le nom des notes
13H:52M:10S : L'utilisateur affiche le nom des notes
13H:52M:10S : L'utilisateur affiche le nom des notes
13H:52M:10S : L'utilisateur affiche le nom des notes
13H:52M:10S : L'utilisateur affiche le nom des notes
13H:52M:10S : L'utilisateur affiche le nom des notes
13H:52M:10S : L'utilisateur affiche le nom des notes
13H:52M:10S : L'utilisateur cache le nom des notes
13H:52M:10S : L'utilisateur cache le nom des notes
13H:52M:10S : L'utilisateur cache le nom des notes
13H:52M:10S : L'utilisateur cache le nom des notes
13H:52M:10S : L'utilisateur cache le nom des notes
13H:52M:10S : L'utilisateur cache le nom des notes
13H:52M:10S : L'utilisateur cache le nom des notes
13H:52M:10S : L'utilisateur cache le nom des notes
13H:52M:10S : L'utilisateur cache le nom des notes
13H:52M:10S : L'utilisateur cache le nom des notes
13H:52M:10S : L'utilisateur cache le nom des notes
13H:52M:10S : L'utilisateur cache le nom des notes
13H:52M:10S : L'utilisateur cache le nom des notes
13H:52M:10S : L'utilisateur cache le nom des notes
13H:52M:10S : L'utilisateur cache le nom des notes
13H:52M:10S : L'utilisateur cache le nom des notes
13H:52M:10S : L'utilisateur cache le nom des notes
13H:52M:10S : L'utilisateur cache le nom des notes
13H:52M:10S : L'utilisateur cache le nom des notes
13H:52M:10S : L'utilisateur cache le nom des notes
13H:52M:10S : L'utilisateur cache le nom des notes
13H:52M:10S : L'utilisateur cache le nom des notes
13H:52M:10S : L'utilisateur cache le nom des notes
13H:52M:10S : L'utilisateur cache le nom des notes
13H:52M:11S : L'utilisateur affiche le nom des notes
13H:52M:11S : L'utilisateur affiche le nom des notes
13H:52M:11S : L'utilisateur affiche le nom des notes
13H:52M:11S : L'utilisateur affiche le nom des notes
13H:52M:11S : L'utilisateur affiche le nom des notes
13H:52M:11S : L'utilisateur affiche le nom des notes
13H:52M:11S : L'utilisateur affiche le nom des notes
13H:52M:11S : L'utilisateur affiche le nom des notes
13H:52M:11S : L'utilisateur affiche le nom des notes
13H:52M:11S : L'utilisateur affiche le nom des notes
13H:52M:11S : L'utilisateur affiche le nom des notes
13H:52M:11S : L'utilisateur affiche le nom des notes
13H:52M:11S : L'utilisateur affiche le nom des notes
13H:52M:11S : L'utilisateur affiche le nom des notes
